,Event Date,Event Type,Event Comment,County,Location,Tenant City,Tenant State,Tenant ZIP Code,Case Type,Case Number,Evicted Date,Event Year,Eviction Year
334193,2024-09-02,Warrant of Restitution - Return of Service - Expired,,Baltimore,Essex,Dundalk,MD,21222.0,Failure to Pay Rent,D-08-LT-24-20104-040,,2024.0,
334194,2024-09-02,Warrant of Restitution - Return of Service - Expired,,Baltimore,Essex,DUNDALK,MD,21222.0,Failure to Pay Rent,D-085-LT-24-002047,,2024.0,
334195,2024-09-02,Petition - For Warrant of Restitution Filed,OFFIT::Warrant of Restitution,Anne Arundel,Glen Burnie,Millersville,MD,21108.0,Failure to Pay Rent,D-072-LT-24-28356-003,,2024.0,
334196,2024-09-02,Petition - For Warrant of Restitution Filed,OFFIT::Warrant of Restitution,Anne Arundel,Glen Burnie,Millersville,MD,21108.0,Failure to Pay Rent,D-072-LT-24-28356-006,,2024.0,
334197,2024-09-02,Petition - For Warrant of Restitution Filed,OFFIT::Warrant of Restitution,Anne Arundel,Glen Burnie,Millersville,MD,21108.0,Failure to Pay Rent,D-072-LT-24-28356-010,,2024.0,
334198,2024-09-02,Petition - For Warrant of Restitution Filed,OFFIT::Warrant of Restitution,Anne Arundel,Glen Burnie,Millersville,MD,21108.0,Failure to Pay Rent,D-072-LT-24-28356-008,,2024.0,
334199,2024-09-02,Petition - For Warrant of Restitution Filed,OFFIT::Warrant of Restitution,Anne Arundel,Glen Burnie,Millersville,MD,21108.0,Failure to Pay Rent,D-072-LT-24-28356-013,,2024.0,
334200,2024-09-02,Petition - For Warrant of Restitution Filed,OFFIT::Warrant of Restitution,Anne Arundel,Glen Burnie,Millersville,MD,21108.0,Failure to Pay Rent,D-072-LT-24-28356-021,,2024.0,
334201,2024-09-02,Petition - For Warrant of Restitution Filed,OFFIT::Warrant of Restitution,Anne Arundel,Glen Burnie,Millersville,MD,21108.0,Failure to Pay Rent,D-072-LT-24-28356-025,,2024.0,
334202,2024-09-02,Petition - For Warrant of Restitution Filed,OFFIT::Warrant of Restitution,Anne Arundel,Glen Burnie,Millersville,MD,21108.0,Failure to Pay Rent,D-072-LT-24-28356-017,,2024.0,
334203,2024-09-02,Petition - For Warrant of Restitution Filed,OFFIT::Warrant of Restitution,Anne Arundel,Glen Burnie,Millersville,MD,21108.0,Failure to Pay Rent,D-072-LT-24-28356-026,,2024.0,
334204,2024-09-02,Petition - For Warrant of Restitution Filed,OFFIT::Warrant of Restitution,Anne Arundel,Glen Burnie,Millersville,MD,21108.0,Failure to Pay Rent,D-072-LT-24-28356-033,,2024.0,
334205,2024-09-02,Petition - For Warrant of Restitution Filed,OFFIT::Warrant of Restitution,Anne Arundel,Glen Burnie,Millersville,MD,21108.0,Failure to Pay Rent,D-072-LT-24-28356-031,,2024.0,
334206,2024-09-02,Petition - For Warrant of Restitution Filed,OFFIT::Warrant of Restitution,Anne Arundel,Glen Burnie,Millersville,MD,21108.0,Failure to Pay Rent,D-072-LT-24-28356-041,,2024.0,
334207,2024-09-02,Petition - For Warrant of Restitution Filed,OFFIT::Warrant of Restitution,Anne Arundel,Glen Burnie,Millersville,MD,21108.0,Failure to Pay Rent,D-072-LT-24-28356-044,,2024.0,
